y_true,y_pred,score,sex,race
1,0,0.490777,Male,White
1,0,0.407623,Male,White
0,0,0.111292,Male,Black
0,0,0.040940,Female,White
0,0,0.113514,Male,White
0,0,0.455085,Male,White
0,0,0.219961,Male,White
1,0,0.474949,Male,White
0,0,0.015660,Female,Black
0,0,0.030504,Female,White
0,0,0.274903,Male,White
0,0,0.159002,Female,White
0,0,0.135372,Male,Black
0,0,0.286422,Male,Black
0,0,0.057584,Female,White
1,1,0.511221,Male,White
1,0,0.078088,Male,White
0,0,0.355849,Male,White
0,0,0.383548,Male,White
0,0,0.189345,Male,White
0,0,0.148012,Male,White
0,0,0.325651,Male,White
0,0,0.031858,Female,White
0,0,0.212316,Male,White
0,0,0.055199,Female,White
1,0,0.413210,Male,White
0,0,0.101463,Male,White
1,1,0.704429,Male,White
1,0,0.305425,Female,White
0,0,0.115877,Male,Amer-Indian-Eskimo
0,0,0.023773,Male,White
0,0,0.413210,Male,White
0,0,0.088420,Male,White
1,1,0.661804,Male,White
0,0,0.205654,Male,White
0,0,0.287501,Male,Black
0,1,0.561185,Male,White
0,0,0.004671,Male,White
0,0,0.353776,Male,White
1,0,0.112636,Male,White
0,0,0.159680,Male,White
0,1,0.506212,Male,White
0,0,0.137059,Male,White
0,0,0.076396,Male,White
0,0,0.018208,Female,White
0,0,0.034293,Male,White
0,0,0.101896,Female,White
0,0,0.090488,Male,White
0,0,0.148612,Female,White
0,0,0.025599,Female,White
1,0,0.221467,Male,White
0,0,0.107779,Male,Asian-Pac-Islander
0,0,0.087313,Female,White
0,0,0.337527,Male,White
0,0,0.053576,Female,Black
0,0,0.129280,Female,White
0,0,0.300724,Male,White
0,0,0.023590,Female,White
0,0,0.132386,Female,White
0,0,0.116620,Male,White
1,0,0.243903,Male,White
1,0,0.305092,Male,Black
0,0,0.021422,Male,White
0,0,0.086953,Female,White
0,0,0.032851,Female,Amer-Indian-Eskimo
0,0,0.155520,Female,White
1,0,0.483877,Male,White
0,0,0.011237,Male,White
0,1,0.724531,Male,White
0,0,0.039215,Female,White
1,1,0.751395,Male,White
0,0,0.065318,Male,Black
0,0,0.033270,Female,White
0,0,0.342521,Female,White
1,1,0.501984,Male,White
0,0,0.248808,Male,White
0,0,0.080763,Female,White
0,0,0.083806,Female,White
0,0,0.227735,Female,White
0,0,0.050076,Female,White
0,0,0.283990,Male,White
0,0,0.131325,Male,White
1,1,0.653751,Male,White
0,0,0.389369,Female,White
1,1,0.759730,Male,White
0,0,0.095481,Female,White
0,0,0.004356,Female,White
0,0,0.255681,Female,White
0,0,0.016817,Female,White
0,0,0.126795,Male,White
0,0,0.041793,Female,White
1,0,0.219961,Male,White
0,0,0.065869,Female,White
1,0,0.064342,Female,White
0,0,0.286409,Male,White
0,0,0.066761,Male,White
0,0,0.125249,Male,White
0,0,0.022661,Male,White
0,0,0.016874,Female,White
0,0,0.125829,Male,White
1,0,0.115720,Male,Black
0,0,0.078735,Female,Black
0,0,0.011704,Female,Black
1,1,0.626471,Male,White
1,0,0.400164,Male,Asian-Pac-Islander
0,0,0.153756,Male,White
0,0,0.087289,Female,White
1,1,0.736914,Male,White
0,0,0.022679,Female,White
0,0,0.039215,Female,White
1,0,0.230133,Female,White
1,0,0.347623,Male,White
0,0,0.329740,Male,White
0,0,0.333489,Male,White
0,0,0.157905,Male,White
0,0,0.175147,Male,White
0,0,0.116293,Male,White
0,0,0.059751,Female,Black
0,0,0.412919,Male,White
1,0,0.337527,Male,White
0,0,0.013729,Female,Amer-Indian-Eskimo
1,1,0.768677,Male,White
0,0,0.295891,Male,White
0,0,0.009785,Female,White
0,0,0.070508,Female,White
0,0,0.413210,Male,White
0,0,0.271278,Male,White
0,0,0.156977,Male,Black
0,0,0.058061,Female,White
0,0,0.053294,Female,White
1,0,0.299661,Female,White
1,0,0.443918,Male,White
1,1,0.882726,Male,White
0,0,0.011704,Male,White
0,0,0.172758,Female,White
1,0,0.365101,Female,White
1,1,0.568791,Male,White
0,0,0.037049,Male,Black
0,0,0.035819,Male,White
0,0,0.116293,Male,White
0,0,0.063163,Female,White
0,0,0.224643,Female,White
1,0,0.432881,Male,White
0,0,0.137868,Female,White
0,0,0.062170,Female,White
0,0,0.044983,Female,White
0,0,0.010551,Male,White
0,0,0.135372,Male,Black
0,0,0.212316,Male,White
0,0,0.088420,Male,White
0,1,0.530927,Male,White
0,0,0.185233,Male,White
1,0,0.435106,Male,White
0,0,0.141382,Male,White
1,0,0.212366,Male,White
1,0,0.488514,Male,White
1,0,0.379169,Male,White
0,0,0.125829,Male,White
0,0,0.170794,Male,White
0,0,0.007341,Female,White
1,1,0.617064,Male,White
0,0,0.136062,Male,White
0,0,0.004890,Female,Amer-Indian-Eskimo
0,0,0.051128,Female,White
1,1,0.722809,Male,White
1,1,0.586247,Male,White
0,0,0.055657,Female,White
0,0,0.353319,Male,White
1,1,0.703548,Male,White
0,0,0.153756,Male,White
0,0,0.100695,Male,White
1,1,0.775714,Male,White
1,0,0.401295,Male,White
0,0,0.124260,Male,Black
0,0,0.037725,Female,White
0,0,0.159680,Male,White
0,0,0.075645,Male,White
1,1,0.532167,Male,White
1,0,0.221467,Male,White
0,0,0.039215,Female,White
0,0,0.003660,Female,White
0,0,0.266116,Male,White
0,0,0.037359,Female,Black
0,0,0.172081,Male,White
0,0,0.088444,Male,White
0,0,0.108262,Male,White
0,0,0.435106,Male,White
0,0,0.298666,Male,White
1,0,0.017181,Male,White
1,0,0.194827,Male,White
0,0,0.177281,Male,White
0,0,0.043713,Male,White
0,0,0.297826,Female,White
0,0,0.015800,Female,White
0,0,0.027969,Female,White
1,1,0.880635,Male,White
0,0,0.028239,Female,White
0,0,0.277347,Male,Black
0,0,0.269550,Male,White
0,0,0.123494,Female,White
0,0,0.476004,Male,White
0,0,0.354743,Male,White
0,0,0.093576,Male,White
0,0,0.133885,Female,White
0,1,0.902235,Male,White
0,0,0.185233,Male,White
0,0,0.084873,Male,White
0,0,0.139193,Male,Asian-Pac-Islander
0,0,0.021593,Male,White
1,1,0.607885,Male,White
0,0,0.222286,Female,White
0,0,0.177821,Female,White
0,0,0.033270,Female,White
0,0,0.216830,Female,White
1,0,0.200858,Male,White
0,0,0.066116,Male,White
0,0,0.437259,Male,White
1,0,0.059465,Female,White
1,0,0.443918,Male,White
1,0,0.449345,Female,White
0,0,0.028804,Female,Asian-Pac-Islander
1,0,0.183825,Male,White
0,0,0.469937,Male,White
0,0,0.009187,Male,White
0,0,0.044587,Male,White
0,0,0.109583,Female,Asian-Pac-Islander
0,0,0.323666,Male,White
0,0,0.037046,Female,Black
1,0,0.328623,Female,White
0,0,0.131264,Female,White
0,1,0.535547,Male,White
0,0,0.203444,Male,White
1,0,0.435106,Male,White
0,0,0.021689,Male,White
1,1,0.564344,Male,White
0,0,0.120980,Male,White
0,0,0.045926,Female,Black
0,0,0.375121,Female,White
0,0,0.088420,Male,White
1,1,0.663828,Male,White
0,0,0.028904,Female,White
0,0,0.033270,Female,White
1,0,0.201310,Female,White
0,0,0.048590,Female,White
0,0,0.143484,Male,White
0,0,0.037878,Female,White
0,0,0.452362,Male,White
0,1,0.564344,Male,White
1,0,0.344617,Male,White
0,0,0.122063,Female,White
0,0,0.014209,Female,White
0,0,0.152620,Male,White
0,0,0.153098,Female,White
1,0,0.345640,Male,White
0,0,0.192094,Male,White
0,0,0.385021,Male,White
1,0,0.305316,Male,White
0,0,0.198427,Male,White
0,0,0.212141,Male,White
0,0,0.424120,Male,White
0,0,0.216690,Male,Black
1,0,0.446110,Male,Asian-Pac-Islander
0,0,0.026886,Female,White
0,0,0.052249,Male,White
0,0,0.137059,Male,White
1,1,0.686447,Female,White
0,0,0.322675,Male,White
0,0,0.210905,Male,White
0,0,0.056649,Male,White
0,0,0.167621,Female,White
1,0,0.243903,Male,White
0,0,0.019027,Female,White
1,0,0.347623,Male,White
0,0,0.006036,Female,White
0,0,0.021600,Male,White
0,0,0.072209,Female,White
0,0,0.051835,Male,Black
0,1,0.569481,Male,White
0,0,0.283070,Male,White
1,1,0.642426,Male,White
0,0,0.037915,Male,Amer-Indian-Eskimo
0,0,0.034743,Female,White
0,0,0.051476,Male,White
0,0,0.084481,Female,White
0,0,0.345373,Male,White
0,0,0.086535,Female,White
0,0,0.128340,Male,White
0,0,0.172758,Female,White
0,0,0.227007,Male,White
0,0,0.125111,Female,White
0,0,0.214983,Female,White
0,0,0.107796,Male,White
0,0,0.133343,Female,White
0,0,0.033110,Female,Black
0,1,0.509794,Male,White
0,0,0.212366,Male,White
1,0,0.287564,Male,White
1,1,0.733446,Male,White
0,0,0.310235,Male,White
0,0,0.037554,Female,Asian-Pac-Islander
0,0,0.054121,Female,White
0,0,0.077062,Male,Black
0,0,0.097200,Female,White
0,0,0.262507,Male,White
0,0,0.163958,Male,White
0,0,0.088013,Female,Black
0,0,0.051984,Female,White
0,0,0.196464,Male,White
0,0,0.080389,Male,Black
0,0,0.037668,Female,White
1,1,0.736914,Male,White
0,0,0.199148,Male,White
0,0,0.317779,Male,White
0,0,0.343343,Male,White
0,0,0.040436,Male,White
0,0,0.087650,Female,Black
0,0,0.082387,Male,White
0,0,0.382022,Male,White
1,1,0.753924,Male,White
0,0,0.387238,Male,White
1,1,0.555529,Male,White
0,1,0.673560,Male,White
0,0,0.329740,Male,White
0,0,0.090289,Male,Amer-Indian-Eskimo
0,0,0.018356,Male,White
1,0,0.368225,Male,White
0,0,0.078146,Female,Black
0,0,0.169452,Male,White
1,0,0.424120,Male,White
1,0,0.087313,Female,White
0,0,0.019111,Female,White
0,0,0.057054,Female,White
0,0,0.053347,Female,White
0,0,0.125351,Male,Amer-Indian-Eskimo
0,0,0.019882,Female,White
0,1,0.535547,Male,White
1,0,0.244640,Female,White
0,0,0.014376,Female,White
1,1,0.785713,Male,White
1,1,0.708217,Male,White
1,0,0.320101,Male,White
0,0,0.008979,Male,Black
1,1,0.526279,Female,Black
0,0,0.074935,Female,Black
1,1,0.744710,Male,White
0,0,0.411500,Male,White
0,0,0.051143,Female,White
1,1,0.726394,Male,White
0,0,0.237312,Male,White
0,0,0.041106,Female,White
0,0,0.197708,Male,White
0,0,0.260815,Male,White
0,1,0.519861,Male,White
0,0,0.086248,Female,White
0,0,0.249032,Male,White
0,0,0.088444,Male,White
0,0,0.389318,Male,White
0,0,0.170719,Female,White
0,0,0.252231,Male,Asian-Pac-Islander
1,0,0.342642,Male,White
1,0,0.218463,Male,White
0,0,0.077136,Male,Black
0,1,0.641454,Male,White
0,0,0.376656,Male,White
1,0,0.291227,Male,White
0,0,0.093576,Male,White
1,0,0.170837,Male,White
0,0,0.038679,Female,Black
0,0,0.050530,Female,White
0,0,0.060305,Female,White
0,0,0.014452,Female,White
0,0,0.149090,Female,White
0,0,0.232644,Male,White
0,0,0.087271,Male,Black
0,0,0.236547,Male,White
0,0,0.007078,Female,White
0,0,0.016774,Male,Other
0,0,0.156605,Male,Black
0,0,0.031868,Female,White
0,0,0.153098,Female,White
0,0,0.050019,Female,Black
0,0,0.108539,Male,Black
0,0,0.148012,Male,White
0,0,0.017482,Male,White
0,0,0.146912,Male,White
0,0,0.159680,Male,White
0,0,0.028778,Female,White
0,0,0.116673,Female,White
0,0,0.044228,Male,White
0,0,0.034743,Female,White
0,0,0.094727,Female,White
0,1,0.528746,Male,White
0,0,0.012611,Female,Black
1,0,0.178562,Male,White
0,0,0.028826,Male,White
0,0,0.171437,Male,White
0,0,0.317779,Male,White
0,0,0.035847,Female,Black
0,0,0.064022,Male,White
1,0,0.023799,Female,White
1,0,0.150774,Male,Black
0,0,0.027969,Female,White
0,0,0.432697,Male,White
0,0,0.142448,Male,White
0,0,0.185950,Female,White
0,0,0.077136,Male,Black
0,1,0.515226,Male,White
0,0,0.212366,Male,White
0,0,0.088676,Male,Black
0,0,0.088406,Male,Asian-Pac-Islander
0,0,0.144553,Female,White
0,0,0.175964,Male,White
0,0,0.110348,Male,Black
1,0,0.313866,Male,White
1,1,0.681572,Male,White
1,0,0.195481,Male,White
0,0,0.015869,Female,White
1,0,0.322075,Male,White
0,0,0.141382,Male,White
1,1,0.752240,Male,White
0,1,0.752408,Male,White
0,0,0.150235,Male,White
1,0,0.212336,Male,Asian-Pac-Islander
0,0,0.039215,Female,White
0,0,0.084896,Male,White
0,0,0.117177,Male,Asian-Pac-Islander
0,0,0.072265,Male,White
0,0,0.137059,Male,White
1,0,0.440457,Male,White
1,0,0.280230,Male,White
0,0,0.103981,Male,White
0,0,0.421910,Male,White
0,0,0.318650,Male,White
0,0,0.095481,Female,White
0,0,0.165787,Male,White
0,0,0.080311,Male,Black
0,0,0.031868,Female,White
1,1,0.893261,Male,White
1,0,0.417317,Male,White
0,0,0.099837,Male,White
1,0,0.121349,Male,Black
1,0,0.179259,Female,White
0,0,0.149232,Male,White
0,0,0.051348,Female,White
0,0,0.048996,Female,White
0,0,0.056420,Male,White
0,0,0.077561,Female,White
0,0,0.034743,Female,White
0,0,0.035809,Male,White
1,1,0.607885,Male,White
0,0,0.027312,Female,Black
1,0,0.306277,Male,White
1,1,0.743848,Male,White
1,0,0.417390,Male,White
1,1,0.525916,Male,White
1,1,0.765441,Male,White
0,0,0.037359,Female,Black
0,0,0.152620,Male,White
0,0,0.034265,Female,Black
0,1,0.742061,Male,White
0,0,0.025647,Female,Black
0,0,0.232590,Male,White
1,1,0.509661,Female,White
0,0,0.242971,Female,White
0,0,0.018365,Female,White
1,1,0.573554,Male,White
0,0,0.068681,Female,White
0,0,0.269668,Male,White
0,0,0.224580,Male,White
0,0,0.229294,Male,White
0,0,0.125273,Female,White
0,0,0.042737,Female,White
0,0,0.078088,Male,White
0,1,0.533294,Male,White
0,0,0.103703,Female,White
0,0,0.062117,Female,White
0,0,0.030749,Male,Black
0,0,0.185233,Male,White
0,0,0.186385,Female,Black
1,1,0.631633,Male,White
0,0,0.237662,Male,White
0,0,0.153098,Female,White
1,1,0.731613,Male,White
0,0,0.476132,Female,White
1,0,0.255640,Male,White
0,0,0.231688,Female,White
0,0,0.044002,Female,Black
0,0,0.030504,Female,White
0,0,0.298711,Female,White
0,0,0.088420,Male,White
1,1,0.607814,Male,White
1,0,0.137059,Male,White
0,0,0.199905,Female,White
0,0,0.059573,Female,White
0,0,0.490777,Male,White
0,0,0.024579,Male,White
0,0,0.329740,Male,White
1,0,0.356291,Male,White
0,0,0.030623,Male,White
0,0,0.100313,Male,White
0,0,0.052770,Male,White
0,0,0.140768,Female,White
0,0,0.113200,Female,White
0,0,0.007522,Female,Black
0,0,0.117687,Female,White
0,0,0.225538,Male,White
0,0,0.130843,Male,White
0,0,0.159680,Male,White
0,0,0.184005,Male,White
0,1,0.686562,Male,White
0,0,0.095429,Female,White
0,0,0.088420,Male,White
0,0,0.014602,Male,White
0,0,0.172081,Male,White
0,0,0.233649,Female,White
0,0,0.136559,Male,White
0,0,0.223316,Male,White
0,0,0.146874,Male,White
0,0,0.233250,Female,White
0,0,0.255510,Female,White
0,0,0.227410,Male,White
0,0,0.443770,Male,White
0,0,0.313995,Male,White
0,0,0.184211,Female,Black
0,0,0.014809,Female,White
0,0,0.036946,Female,White
1,1,0.567680,Male,White
1,0,0.432881,Male,White
0,0,0.006450,Female,White
0,0,0.132716,Female,Black
0,0,0.144115,Male,White
0,0,0.099423,Female,White
0,0,0.131842,Male,White
0,0,0.003296,Female,White
0,0,0.003789,Female,White
0,0,0.177930,Female,White
0,0,0.137059,Male,White
0,0,0.178845,Male,White
1,0,0.488514,Male,White
0,0,0.225433,Female,White
1,0,0.251412,Male,White
0,0,0.080022,Male,White
0,0,0.492920,Male,Asian-Pac-Islander
0,0,0.229332,Female,White
0,0,0.219910,Male,White
0,0,0.032574,Female,Amer-Indian-Eskimo
1,0,0.310547,Female,Black
0,0,0.087999,Female,Asian-Pac-Islander
0,0,0.489646,Male,White
0,0,0.062647,Female,White
0,0,0.335572,Male,White
0,0,0.126795,Male,White
1,0,0.095465,Female,Asian-Pac-Islander
0,0,0.184550,Male,White
0,0,0.026305,Male,White
0,0,0.124778,Female,White
1,1,0.602583,Male,White
0,0,0.153756,Male,White
0,0,0.022568,Male,White
0,0,0.156634,Female,White
0,0,0.100667,Female,White
0,0,0.040448,Male,White
0,0,0.047922,Male,White
1,1,0.888863,Male,Asian-Pac-Islander
0,0,0.015397,Female,White
0,0,0.266838,Female,White
0,0,0.007537,Female,Amer-Indian-Eskimo
0,0,0.143864,Male,Other
1,0,0.355780,Male,White
0,0,0.040940,Female,White
1,1,0.610042,Male,White
0,1,0.621648,Male,White
0,0,0.015397,Female,White
0,0,0.020264,Female,White
1,0,0.393740,Male,White
0,0,0.310235,Male,White
1,0,0.344549,Male,White
0,0,0.132907,Female,White
0,1,0.639369,Male,White
0,0,0.077136,Male,Black
0,0,0.044146,Female,White
0,0,0.059308,Male,White
0,0,0.306259,Female,White
0,0,0.067770,Female,Black
0,0,0.022469,Female,Asian-Pac-Islander
0,0,0.118398,Female,White
1,0,0.472541,Female,White
1,0,0.057786,Male,White
0,0,0.092013,Male,White
1,0,0.311983,Male,White
0,0,0.100493,Male,White
0,0,0.177119,Male,White
0,0,0.261730,Female,White
0,0,0.326579,Male,Black
1,1,0.554484,Male,White
1,0,0.065332,Female,White
0,0,0.027969,Female,White
1,1,0.778402,Male,White
0,0,0.078142,Male,White
0,0,0.429366,Male,White
0,0,0.057535,Female,White
0,0,0.317765,Male,White
0,0,0.039215,Female,White
1,0,0.062647,Female,White
0,1,0.660674,Male,White
0,0,0.082471,Female,White
0,0,0.015105,Female,White
0,0,0.066743,Male,White
1,0,0.358691,Male,Black
0,0,0.031017,Male,Other
1,1,0.576438,Male,White
0,0,0.157204,Male,Black
0,0,0.252265,Male,White
0,0,0.012905,Female,White
0,0,0.039283,Male,White
0,0,0.190554,Male,White
0,1,0.501984,Male,White
0,1,0.612123,Male,White
0,1,0.679603,Male,White
0,0,0.176468,Male,Black
0,0,0.038281,Female,White
0,0,0.271278,Male,White
1,1,0.513143,Male,Asian-Pac-Islander
0,0,0.043626,Female,White
0,0,0.192670,Male,Black
0,0,0.271337,Male,White
0,0,0.106073,Female,White
0,0,0.067271,Male,White
1,0,0.261631,Male,White
0,0,0.409863,Female,White
0,0,0.387238,Male,White
1,1,0.676102,Male,White
0,0,0.172758,Female,White
1,0,0.122734,Female,White
1,1,0.649708,Male,White
1,0,0.243903,Male,White
1,1,0.515525,Male,White
0,0,0.432881,Male,White
0,0,0.112131,Female,White
0,0,0.065714,Male,White
1,1,0.521934,Male,White
0,0,0.028660,Female,White
0,0,0.093236,Female,White
0,0,0.283990,Male,White
0,0,0.112214,Male,White
0,0,0.226213,Male,White
0,0,0.127452,Female,White
0,0,0.029464,Female,White
0,0,0.044983,Female,White
1,0,0.260815,Male,White
0,0,0.098596,Male,Black
1,0,0.243903,Male,White
0,0,0.139043,Female,Black
1,0,0.117195,Male,White
0,0,0.147515,Female,White
0,0,0.174534,Female,Black
0,0,0.311931,Female,Black
0,1,0.520085,Male,White
0,0,0.252265,Male,White
0,0,0.118552,Female,White
1,0,0.204056,Male,Black
1,0,0.479580,Male,White
1,0,0.289361,Male,White
0,0,0.407675,Female,White
0,0,0.248612,Male,White
0,0,0.212366,Male,White
0,0,0.305789,Male,White
0,0,0.274963,Male,White
0,0,0.026776,Female,White
0,0,0.043552,Female,White
1,1,0.769428,Male,White
0,0,0.041633,Female,White
0,0,0.458307,Male,White
1,0,0.204178,Male,White
0,0,0.079434,Male,White
0,0,0.262507,Male,White
0,0,0.006169,Female,White
1,1,0.656125,Male,Asian-Pac-Islander
1,0,0.060066,Female,White
1,0,0.193758,Male,White
1,1,0.599326,Male,White
0,0,0.158468,Male,White
0,0,0.035479,Female,Black
0,0,0.122422,Female,White
1,0,0.154374,Female,White
0,0,0.031858,Female,White
0,0,0.091302,Female,Black
1,1,0.585039,Male,White
0,1,0.535796,Male,Asian-Pac-Islander
1,0,0.159680,Male,White
0,0,0.083136,Female,White
0,0,0.145015,Male,White
1,0,0.264305,Female,White
0,0,0.165162,Male,White
0,0,0.208516,Female,White
1,0,0.179259,Female,White
1,0,0.213834,Male,White
0,0,0.043133,Female,White
0,0,0.245521,Male,White
0,0,0.413282,Male,White
0,0,0.024863,Female,White
0,0,0.349850,Male,White
0,0,0.055180,Male,White
0,0,0.148612,Female,White
0,1,0.749603,Male,White
1,0,0.327577,Male,White
0,0,0.069031,Female,Amer-Indian-Eskimo
0,0,0.115773,Female,White
0,0,0.016024,Female,White
1,1,0.897433,Male,White
0,0,0.337527,Male,White
0,0,0.084873,Male,White
0,0,0.075328,Female,White
0,0,0.049421,Male,White
0,0,0.044622,Female,White
1,1,0.737791,Male,White
1,1,0.784899,Male,White
1,0,0.107745,Female,White
0,0,0.349748,Male,White
0,0,0.242292,Male,White
1,1,0.631079,Male,White
0,0,0.146912,Male,White
0,1,0.501984,Male,White
1,0,0.372343,Male,White
0,0,0.212316,Male,White
0,0,0.226161,Male,White
0,0,0.044983,Female,White
0,0,0.044609,Female,White
0,0,0.326694,Female,White
0,0,0.010989,Female,White
0,0,0.149137,Female,White
0,0,0.192094,Male,White
1,1,0.650670,Male,White
0,0,0.202875,Male,Asian-Pac-Islander
0,0,0.274796,Female,White
0,0,0.055187,Male,Black
0,0,0.452362,Male,White
0,0,0.003789,Female,White
0,0,0.403401,Male,White
0,0,0.374462,Male,White
0,0,0.064512,Male,White
1,1,0.540950,Male,White
0,0,0.198461,Female,White
0,0,0.376656,Male,White
0,0,0.017874,Male,White
0,1,0.566569,Male,White
1,0,0.034878,Male,Black
0,0,0.227750,Male,White
1,0,0.184568,Male,Asian-Pac-Islander
0,0,0.021604,Female,White
0,0,0.072154,Male,Black
0,0,0.077136,Male,Black
0,0,0.095919,Male,White
0,0,0.378714,Male,White
0,0,0.285712,Male,White
0,0,0.157905,Male,White
0,0,0.013159,Female,White
0,0,0.140768,Female,White
1,0,0.136935,Male,White
